,County Name,FIPS #,Cases per 100000 population
0,Anderson,48001,0.0
1,Andrews,48003,114.9736236980928
2,Angelina,48005,63.38523239331113
3,Aransas,48007,34.545297521374906
4,Archer,48009,55.2242102937928
5,Armstrong,48011,105.20778537611783
6,Atascosa,48013,37.85264189174144
7,Austin,48015,186.5080761515994
8,Bailey,48017,181.43754361479412
9,Bandera,48019,34.17134488650232
10,Bastrop,48021,124.0376966739022
11,Baylor,48023,0.0
12,Bee,48025,332.69514453406987
13,Bell,48027,98.63490579721825
14,Bexar,48029,38.54737624163665
15,Blanco,48031,123.84490806897209
16,Borden,48033,0.0
17,Bosque,48035,82.363276960246
18,Bowie,48037,91.82736455463728
19,Brazoria,48039,190.63372141292476
20,Brazos,48041,53.3741166327091
21,Brewster,48043,0.0
22,Briscoe,48045,0.0
23,Brooks,48047,526.0971895334349
24,Brown,48049,0.0
25,Burleson,48051,110.54867050677838
26,Burnet,48053,49.12280701754386
27,Caldwell,48055,70.92943834392896
28,Calhoun,48057,126.28034236003928
29,Callahan,48059,36.91671588895452
30,Cameron,48061,284.5748609128059
31,Camp,48063,177.40504798000163
32,Carson,48065,0.0
33,Cass,48067,82.0640756302521
34,Castro,48069,111.6348300669809
35,Chambers,48071,176.65830863916113
36,Cherokee,48073,212.41026649621398
37,Childress,48075,42.60758414997869
38,Clay,48077,130.20833333333331
39,Cochran,48079,95.93859929645028
40,Coke,48081,90.36144578313254
41,Coleman,48083,112.42270938729624
42,Collin,48085,256.4099286628209
43,Collingsworth,48087,130.84723585214263
44,Colorado,48089,215.57918942224777
45,Comal,48091,235.08370823807067
46,Comanche,48093,100.18605982539
47,Concho,48095,48.93564962074871
48,Cooke,48097,52.033197179800716
49,Coryell,48099,67.65002387647903
50,Cottle,48101,0.0
51,Crane,48103,0.0
52,Crockett,48105,53.77789728421619
53,Crosby,48107,148.53936293117675
54,Culberson,48109,41.70141784820684
55,Dallam,48111,74.59346561241236
56,Dallas,48113,436.79868453667626
57,Dawson,48115,159.03997686691247
58,Deaf Smith,48117,201.32149494115217
59,Delta,48119,19.116803670426304
60,Denton,48121,115.300914257773
61,DeWitt,48123,238.84161815196296
62,Dickens,48125,40.91653027823241
63,Dimmit,48127,60.024009603841534
64,Donley,48129,81.58825129181398
65,Duval,48131,144.28789679171618
66,Eastland,48133,64.57514933003283
67,Ector,48135,110.84372493254575
68,Edwards,48137,199.8001998001998
69,Ellis,48139,165.76432056680704
70,El Paso,48141,192.96893637270855
71,Erath,48143,105.56875164951175
72,Falls,48145,44.777790216052836
73,Fannin,48147,318.4431667403804
74,Fayette,48149,114.03437321821292
75,Fisher,48151,427.7805737292401
76,Floyd,48153,93.0809804529941
77,Foard,48155,74.8502994011976
78,Fort Bend,48157,489.4298526585522
79,Franklin,48159,75.43611504007544
80,Freestone,48161,126.16067823980622
81,Frio,48163,232.32851251669862
82,Gaines,48165,193.99748944425426
83,Galveston,48167,165.80332224545072
84,Garza,48169,0.0
85,Gillespie,48171,28.183758102830453
86,Glasscock,48173,0.0
87,Goliad,48175,55.478502080443825
88,Gonzales,48177,166.60776493158983
89,Gray,48179,75.43820723319281
90,Grayson,48181,123.26579911811179
91,Gregg,48183,99.40031216626963
92,Grimes,48185,131.55916403548338
93,Guadalupe,48187,67.66362813894612
94,Hale,48189,176.43977614203402
95,Hall,48191,29.824038174768866
96,Hamilton,48193,46.96489374192791
97,Hansford,48195,142.52627828255834
98,Hardeman,48197,0.0
99,Hardin,48199,215.9787681888899
100,Harris,48201,151.6447690740457
101,Harrison,48203,65.51781932318569
102,Hartley,48205,82.48102936324645
103,Haskell,48207,0.0
104,Hays,48209,80.83662726676724
105,Hemphill,48211,78.80220646178094
106,Henderson,48213,86.5889064330464
107,Hidalgo,48215,288.8602925517154
108,Hill,48217,11.399583915187096
109,Hockley,48219,65.40222367560497
110,Hood,48221,48.84529717478801
111,Hopkins,48223,54.03714342595489
112,Houston,48225,12.641159615708748
113,Howard,48227,157.08899805780874
114,Hudspeth,48229,28.768699654775602
115,Hunt,48231,87.07868429913269
116,Hutchinson,48233,22.57336343115124
117,Irion,48235,0.0
118,Jack,48237,508.62450243255194
119,Jackson,48239,440.49733570159856
120,Jasper,48241,162.41949033884066
121,Jeff Davis,48243,0.0
122,Jefferson,48245,115.35122664732255
123,Jim Hogg,48247,75.47169811320754
124,Jim Wells,48249,227.72907586071796
125,Johnson,48251,182.8613831210993
126,Jones,48253,0.0
127,Karnes,48255,236.10361575822992
128,Kaufman,48257,238.9937106918239
129,Kendall,48259,59.8623166716552
130,Kenedy,48261,240.3846153846154
131,Kent,48263,371.28712871287127
132,Kerr,48265,16.120906801007557
133,Kimble,48267,0.0
134,King,48269,0.0
135,Kinney,48271,27.79321845469705
136,Kleberg,48273,212.09569258600794
137,Knox,48275,26.888948642108094
138,Lamar,48277,166.69009700158657
139,Lamb,48279,100.16455605637833
140,Lampasas,48281,55.90283071606444
141,La Salle,48283,101.65553296543712
142,Lavaca,48285,119.3998857914136
143,Lee,48287,60.197447628220566
144,Leon,48289,35.712159990476756
145,Liberty,48291,241.9258887140912
146,Limestone,48293,277.9678412589805
147,Lipscomb,48295,0.0
148,Live Oak,48297,130.08412106495535
149,Llano,48299,25.90539350292731
150,Loving,48301,0.0
151,Lubbock,48303,115.12349774594647
152,Lynn,48305,33.8123415046492
153,McCulloch,48307,229.3854883496318
154,McLennan,48309,147.71866193285825
155,McMullen,48311,0.0
156,Madison,48313,14.637002341920375
157,Marion,48315,37.92907263417409
158,Martin,48317,62.5130235465722
159,Mason,48319,99.70089730807577
160,Matagorda,48321,65.39153179663234
161,Maverick,48323,0.0
162,Medina,48325,219.53658218493243
163,Menard,48327,89.20606601248885
164,Midland,48329,120.55058741013502
165,Milam,48331,137.33489518116087
166,Mills,48333,101.2965964343598
167,Mitchell,48335,21.26980750824205
168,Montague,48337,106.49627263045794
169,Montgomery,48339,192.87059019717123
170,Moore,48341,95.87289992695398
171,Morris,48343,46.3893613731251
172,Motley,48345,0.0
173,Nacogdoches,48347,99.1878990763127
174,Navarro,48349,169.68681261129151
175,Newton,48351,318.4492904119072
176,Nolan,48353,39.43217665615142
177,Nueces,48355,281.58002251464484
178,Ochiltree,48357,19.563728846718185
179,Oldham,48359,0.0
180,Orange,48361,223.61523516257927
181,Palo Pinto,48363,195.65294724485076
182,Panola,48365,4.20238695579089
183,Parker,48367,159.92884449271767
184,Parmer,48369,97.38046547862498
185,Pecos,48371,90.28180821564455
186,Polk,48373,8.808050558210205
187,Potter,48375,117.28461341504713
188,Presidio,48377,0.0
189,Rains,48379,9.16254352208173
190,Randall,48381,135.01760198798922
191,Reagan,48383,207.9002079002079
192,Real,48385,30.22061045633122
193,Red River,48387,0.0
194,Reeves,48389,65.29783066095916
195,Refugio,48391,81.26777732629013
196,Roberts,48393,0.0
197,Robertson,48395,24.06449284081338
198,Rockwall,48397,217.01111862848975
199,Runnels,48399,238.07256451766497
200,Rusk,48401,78.75492218263642
201,Sabine,48403,92.30201218386561
202,San Augustine,48405,78.96221094190638
203,San Jacinto,48407,30.32140691328078
204,San Patricio,48409,132.70785753965805
205,San Saba,48411,97.8633175664655
206,Schleicher,48413,0.0
207,Scurry,48415,11.819632409432067
208,Shackelford,48417,29.603315571343988
209,Shelby,48419,55.014146494812955
210,Sherman,48421,164.79894528675015
211,Smith,48423,113.48789303527661
212,Somervell,48425,282.6855123674911
213,Starr,48427,244.3904999343918
214,Stephens,48429,695.742471443406
215,Sterling,48431,0.0
216,Stonewall,48433,0.0
217,Sutton,48435,218.02325581395348
218,Swisher,48437,76.39419404125286
219,Tarrant,48439,210.44380592072898
220,Taylor,48441,49.427402551974815
221,Terrell,48443,101.62601626016261
222,Terry,48445,173.89929649830054
223,Throckmorton,48447,0.0
224,Titus,48449,111.33791055854519
225,Tom Green,48451,94.35331688198578
226,Travis,48453,159.62650327161109
227,Trinity,48455,41.1381556393555
228,Tyler,48457,206.74446384269046
229,Upshur,48459,114.47760054949248
230,Upton,48461,59.61251862891207
231,Uvalde,48463,238.5911759136527
232,Val Verde,48465,180.03641645696516
233,Van Zandt,48467,85.5854999144145
234,Victoria,48469,129.0426647310267
235,Walker,48471,92.83682822239578
236,Waller,48473,148.13100335609306
237,Ward,48475,37.53049352598987
238,Washington,48477,88.9732487098879
239,Webb,48479,367.95256967527484
240,Wharton,48481,205.91085271317831
241,Wheeler,48483,92.42144177449168
242,Wichita,48485,70.72243346007605
243,Wilbarger,48487,110.82379017362395
244,Willacy,48489,230.4147465437788
245,Williamson,48491,117.819905886027
246,Wilson,48493,83.88088913742486
247,Winkler,48495,0.0
248,Wise,48497,153.90599895140966
249,Wood,48499,45.27690401296349
250,Yoakum,48501,203.07145576849854
251,Young,48503,43.1266846361186
252,Zapata,48505,321.0158367812812
253,Zavala,48507,145.58533870000855
