,Date,Case Count,County
0,2020-03-04,0,Anderson
1,2020-03-05,0,Anderson
2,2020-03-06,0,Anderson
3,2020-03-09,0,Anderson
4,2020-03-10,0,Anderson
5,2020-03-11,0,Anderson
6,2020-03-12,0,Anderson
7,2020-03-13,0,Anderson
8,2020-03-15,0,Anderson
9,2020-03-16,0,Anderson
10,2020-03-17,0,Anderson
11,2020-03-18,0,Anderson
12,2020-03-19,0,Anderson
13,2020-03-20,0,Anderson
14,2020-03-21,0,Anderson
15,2020-03-22,0,Anderson
16,2020-03-23,0,Anderson
17,2020-03-24,0,Anderson
18,2020-03-25,0,Anderson
19,2020-03-26,0,Anderson
20,2020-03-27,0,Anderson
21,2020-03-28,0,Anderson
22,2020-03-29,0,Anderson
23,2020-03-30,0,Anderson
24,2020-03-31,0,Anderson
25,2020-04-01,1,Anderson
26,2020-04-02,1,Anderson
27,2020-04-03,1,Anderson
28,2020-04-04,1,Anderson
29,2020-04-05,1,Anderson
30,2020-04-06,1,Anderson
31,2020-04-07,1,Anderson
32,2020-04-08,1,Anderson
33,2020-04-09,2,Anderson
34,2020-04-10,2,Anderson
35,2020-04-11,3,Anderson
36,2020-04-12,3,Anderson
37,2020-04-13,3,Anderson
38,2020-04-14,3,Anderson
39,2020-04-15,4,Anderson
40,2020-04-16,6,Anderson
41,2020-04-17,6,Anderson
42,2020-04-18,6,Anderson
43,2020-04-19,8,Anderson
44,2020-04-20,8,Anderson
45,2020-04-21,10,Anderson
46,2020-04-22,14,Anderson
47,2020-04-23,14,Anderson
48,2020-04-24,16,Anderson
49,2020-04-25,16,Anderson
50,2020-04-26,18,Anderson
51,2020-04-27,19,Anderson
52,2020-04-28,23,Anderson
53,2020-04-29,23,Anderson
54,2020-04-30,29,Anderson
55,2020-05-01,30,Anderson
56,2020-05-02,32,Anderson
57,2020-05-03,32,Anderson
58,2020-05-04,32,Anderson
59,2020-05-05,34,Anderson
60,2020-05-06,38,Anderson
61,2020-05-07,40,Anderson
62,2020-05-08,41,Anderson
63,2020-05-09,41,Anderson
64,2020-05-10,41,Anderson
65,2020-05-11,41,Anderson
66,2020-05-12,50,Anderson
67,2020-05-13,50,Anderson
68,2020-05-14,51,Anderson
69,2020-05-15,52,Anderson
70,2020-05-16,54,Anderson
71,2020-05-17,54,Anderson
72,2020-05-18,54,Anderson
73,2020-05-19,60,Anderson
74,2020-05-20,61,Anderson
75,2020-05-21,63,Anderson
76,2020-05-22,64,Anderson
77,2020-05-23,66,Anderson
78,2020-05-24,66,Anderson
79,2020-05-25,66,Anderson
80,2020-05-26,66,Anderson
81,2020-05-27,66,Anderson
82,2020-05-28,66,Anderson
83,2020-05-29,72,Anderson
84,2020-05-30,72,Anderson
85,2020-05-31,72,Anderson
86,2020-06-01,72,Anderson
87,2020-06-02,76,Anderson
88,2020-06-03,78,Anderson
89,2020-06-04,85,Anderson
90,2020-06-05,87,Anderson
91,2020-06-06,85,Anderson
92,2020-06-07,85,Anderson
93,2020-06-08,85,Anderson
94,2020-06-09,91,Anderson
95,2020-06-10,91,Anderson
96,2020-06-11,95,Anderson
97,2020-06-12,95,Anderson
98,2020-06-13,102,Anderson
99,2020-06-14,102,Anderson
100,2020-06-15,102,Anderson
101,2020-06-16,989,Anderson
102,2020-06-17,990,Anderson
103,2020-06-18,1003,Anderson
104,2020-06-19,1007,Anderson
105,2020-06-20,1006,Anderson
106,2020-06-21,1006,Anderson
107,2020-06-22,1006,Anderson
108,2020-06-23,1009,Anderson
109,2020-06-24,1013,Anderson
110,2020-06-25,1014,Anderson
111,2020-06-26,1017,Anderson
112,2020-06-27,1017,Anderson
113,2020-06-28,1016,Anderson
114,2020-06-29,1016,Anderson
115,2020-06-30,1032,Anderson
116,2020-07-01,1040,Anderson
117,2020-07-02,1063,Anderson
118,2020-07-03,1072,Anderson
119,2020-07-04,1070,Anderson
120,2020-07-05,1082,Anderson
121,2020-07-06,1082,Anderson
122,2020-07-07,1108,Anderson
123,2020-07-08,1152,Anderson
124,2020-07-09,1533,Anderson
125,2020-07-10,1761,Anderson
126,2020-07-11,1796,Anderson
127,2020-07-12,1796,Anderson
128,2020-07-13,1890,Anderson
129,2020-07-14,1917,Anderson
130,2020-07-15,1944,Anderson
131,2020-07-16,1956,Anderson
132,2020-07-17,2003,Anderson
133,2020-07-18,2017,Anderson
134,2020-07-19,2017,Anderson
135,2020-07-20,2015,Anderson
136,2020-07-21,2051,Anderson
137,2020-07-22,2062,Anderson
138,2020-07-23,2077,Anderson
139,2020-07-24,2116,Anderson
140,2020-07-25,2140,Anderson
141,2020-07-26,2140,Anderson
142,2020-07-27,2142,Anderson
143,2020-07-28,2162,Anderson
144,2020-07-29,2172,Anderson
145,2020-07-30,2174,Anderson
