,County,Total Population
0,Anderson,58458.0
1,Andrews,14786.0
2,Angelina,86771.0
3,Aransas,23158.0
4,Archer,9054.0
5,Armstrong,1901.0
6,Atascosa,44911.0
7,Austin,28417.0
8,Bailey,7165.0
9,Bandera,20485.0
10,Bastrop,74171.0
11,Baylor,3726.0
12,Bee,31861.0
13,Bell,310235.0
14,Bexar,1714773.0
15,Blanco,10497.0
16,Borden,641.0
17,Bosque,18212.0
18,Bowie,92565.0
19,Brazoria,313166.0
20,Brazos,194851.0
21,Brewster,9232.0
22,Briscoe,1637.0
23,Brooks,7223.0
24,Brown,38106.0
25,Burleson,17187.0
26,Burnet,42750.0
27,Caldwell,38066.0
28,Calhoun,21381.0
29,Callahan,13544.0
30,Cameron,406220.0
31,Camp,12401.0
32,Carson,6182.0
33,Cass,30464.0
34,Castro,8062.0
35,Chambers,35096.0
36,Cherokee,50845.0
37,Childress,7041.0
38,Clay,10752.0
39,Cochran,3127.0
40,Coke,3320.0
41,Coleman,8895.0
42,Collingsworth,3057.0
43,Collin,782341.0
44,Colorado,20874.0
45,Comal,108472.0
46,Comanche,13974.0
47,Concho,4087.0
48,Cooke,38437.0
49,Coryell,75388.0
50,Cottle,1505.0
51,Crane,4375.0
52,Crockett,3719.0
53,Crosby,6059.0
54,Culberson,2398.0
55,Dallam,6703.0
56,Dallas,2368139.0
57,Dawson,13833.0
58,Deaf Smith,19372.0
59,Delta,5231.0
60,Denton,662614.0
61,DeWitt,20097.0
62,Dickens,2444.0
63,Dimmit,9996.0
64,Donley,3677.0
65,Duval,11782.0
66,Eastland,18583.0
67,Ector,137130.0
68,Edwards,2002.0
69,Ellis,149610.0
70,El Paso,800647.0
71,Erath,37890.0
72,Falls,17866.0
73,Fannin,33915.0
74,Fayette,24554.0
75,Fisher,3974.0
76,Floyd,6446.0
77,Foard,1336.0
78,Fort Bend,585375.0
79,Franklin,10605.0
80,Freestone,19816.0
81,Frio,17217.0
82,Gaines,17526.0
83,Galveston,291309.0
84,Garza,6461.0
85,Gillespie,24837.0
86,Glasscock,1226.0
87,Goliad,7210.0
88,Gonzales,19807.0
89,Grayson,120877.0
90,Gray,22535.0
91,Gregg,121730.0
92,Grimes,26604.0
93,Guadalupe,131533.0
94,Hale,36273.0
95,Hall,3353.0
96,Hamilton,8517.0
97,Hansford,5613.0
98,Hardeman,4139.0
99,Hardin,54635.0
100,Harrison,65631.0
101,Harris,4092459.0
102,Hartley,6062.0
103,Haskell,5899.0
104,Hays,157107.0
105,Hemphill,3807.0
106,Henderson,78532.0
107,Hidalgo,774769.0
108,Hill,35089.0
109,Hockley,22935.0
110,Hood,51182.0
111,Hopkins,35161.0
112,Houston,23732.0
113,Howard,35012.0
114,Hudspeth,3476.0
115,Hunt,86129.0
116,Hutchinson,22150.0
117,Irion,1599.0
118,Jackson,14075.0
119,Jack,9044.0
120,Jasper,35710.0
121,Jefferson,252273.0
122,Jeff Davis,2342.0
123,Jim Hogg,5300.0
124,Jim Wells,40838.0
125,Johnson,150934.0
126,Jones,20202.0
127,Karnes,14824.0
128,Kaufman,103350.0
129,Kendall,33410.0
130,Kenedy,416.0
131,Kent,808.0
132,Kerr,49625.0
133,Kimble,4607.0
134,King,286.0
135,Kinney,3598.0
136,Kleberg,32061.0
137,Knox,3719.0
138,Lamar,49793.0
