County,Total Population,Total Families,Total Households,Population in Families,Population in Households,Family: Under Eightteen years,House: Under Eightteen years,Family: Eighteen years and over,House: Eighteen years and over,Average Family Size,Average Household Size,Family: Under Eightteen years,House: Under Eightteen years,Family: Eighteen years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian/Other Pacific Islander alone,Some Other Race alone,Two or More Races,Hispanic or Latino (Any race),"White alone, not Hispanic"
Anderson County,58458.0,12158.0,17218.0,37417.0,44241.0,11297.0,11471.0,26120.0,32770.0,3.08,2.57,0.93,0.67,2.15,13660.0,2437.0,92.0,68.0,22.0,735.0,220.0,1534.0,12958.0
Andrews County,14786.0,3976.0,5259.0,12922.0,14704.0,4263.0,4312.0,8659.0,10392.0,3.25,2.8,1.07,0.82,2.18,4315.0,76.0,51.0,31.0,1.0,707.0,78.0,2117.0,2973.0
Angelina County,86771.0,22429.0,31090.0,71618.0,83818.0,22794.0,23170.0,48824.0,60648.0,3.19,2.7,1.02,0.75,2.18,23686.0,4624.0,149.0,243.0,15.0,2045.0,338.0,4108.0,21841.0
Aransas County,23158.0,6536.0,9795.0,18281.0,22699.0,4405.0,4519.0,13876.0,18180.0,2.8,2.32,0.67,0.46,2.12,8826.0,106.0,80.0,154.0,1.0,465.0,163.0,1692.0,7684.0
Archer County,9054.0,2597.0,3538.0,7786.0,8998.0,2153.0,2185.0,5633.0,6813.0,3.0,2.54,0.83,0.62,2.17,3376.0,10.0,25.0,15.0,3.0,83.0,37.0,173.0,3295.0
Armstrong County,1901.0,560.0,751.0,1600.0,1847.0,414.0,423.0,1186.0,1424.0,2.86,2.46,0.74,0.56,2.12,721.0,1.5,10.0,0.0,0.0,19.0,12.0,25.0,714.0
Atascosa County,44911.0,11543.0,15246.0,38985.0,44527.0,12693.0,12862.0,26292.0,31665.0,3.38,2.92,1.1,0.84,2.28,13173.0,103.0,136.0,40.0,35.0,1449.0,337.0,8293.0,6650.0
Austin County,28417.0,7866.0,10837.0,24069.0,28205.0,6991.0,7108.0,17078.0,21097.0,3.06,2.6,0.89,0.66,2.17,8891.0,1023.0,51.0,41.0,2.0,686.0,144.0,1734.0,7929.0
Bailey County,7165.0,1832.0,2468.0,6166.0,7059.0,2167.0,2216.0,3999.0,4843.0,3.37,2.86,1.18,0.9,2.18,1947.0,27.0,27.0,10.0,3.0,412.0,43.0,1190.0,1230.0
Bandera County,20485.0,5912.0,8564.0,16609.0,20165.0,3812.0,3916.0,12797.0,16249.0,2.81,2.35,0.64,0.46,2.16,8076.0,32.0,73.0,14.0,2.0,251.0,117.0,1062.0,7310.0
